,Start Date,place.name,place.country,periods.tempF,hour_Weather,kWh,hour_Energy,date,hour,day,month,year,month_date,season,hypo_temp,hypo_usage
0,2022-01-01 00:00:00.000000,new york,us,52.16,00:00:00,1.98,00:00:00.000000,2022-01-01,0,1,1,2022,101.0,winter,32.16,3.3322957686098964
23,2022-01-01 23:00:00.000000,new york,us,53.78,23:00:00,2.44,23:00:00.000000,2022-01-01,23,1,1,2022,101.0,winter,33.78,3.255791323898489
22,2022-01-01 22:00:00.000000,new york,us,54.32,22:00:00,4.14,22:00:00.000000,2022-01-01,22,1,1,2022,101.0,winter,34.32,3.2302898423280197
21,2022-01-01 21:00:00.000000,new york,us,55.04,21:00:00,2.38,21:00:00.000000,2022-01-01,21,1,1,2022,101.0,winter,35.04,3.196287866900728
20,2022-01-01 20:00:00.000000,new york,us,55.22,20:00:00,2.44,20:00:00.000000,2022-01-01,20,1,1,2022,101.0,winter,35.22,3.187787373043905
19,2022-01-01 19:00:00.000000,new york,us,56.12,19:00:00,3.15,19:00:00.000000,2022-01-01,19,1,1,2022,101.0,winter,36.12,3.14528490375979
18,2022-01-01 18:00:00.000000,new york,us,56.48,18:00:00,4.65,18:00:00.000000,2022-01-01,18,1,1,2022,101.0,winter,36.48,3.1282839160461435
16,2022-01-01 16:00:00.000000,new york,us,56.73,16:00:00,3.45,16:00:00.000000,2022-01-01,16,1,1,2022,101.0,winter,36.73,3.116477674578334
15,2022-01-01 15:00:00.000000,new york,us,56.48,15:00:00,2.4,15:00:00.000000,2022-01-01,15,1,1,2022,101.0,winter,36.48,3.1282839160461435
14,2022-01-01 14:00:00.000000,new york,us,55.71,14:00:00,3.39,14:00:00.000000,2022-01-01,14,1,1,2022,101.0,winter,35.71,3.1646471397669975
13,2022-01-01 13:00:00.000000,new york,us,55.15,13:00:00,1.71,13:00:00.000000,2022-01-01,13,1,1,2022,101.0,winter,35.15,3.191093120654892
12,2022-01-01 12:00:00.000000,new york,us,53.78,12:00:00,1.69,12:00:00.000000,2022-01-01,12,1,1,2022,101.0,winter,33.78,3.255791323898489
17,2022-01-01 17:00:00.000000,new york,us,56.12,17:00:00,3.86,17:00:00.000000,2022-01-01,17,1,1,2022,101.0,winter,36.12,3.14528490375979
10,2022-01-01 10:00:00.000000,new york,us,53.35,10:00:00,3.24,10:00:00.000000,2022-01-01,10,1,1,2022,101.0,winter,33.35,3.2760980592231217
9,2022-01-01 09:00:00.000000,new york,us,53.78,09:00:00,1.23,09:00:00.000000,2022-01-01,9,1,1,2022,101.0,winter,33.78,3.255791323898489
8,2022-01-01 08:00:00.000000,new york,us,52.86,08:00:00,1.5,08:00:00.000000,2022-01-01,8,1,1,2022,101.0,winter,32.86,3.299238292500029
7,2022-01-01 07:00:00.000000,new york,us,53.96,07:00:00,2.47,07:00:00.000000,2022-01-01,7,1,1,2022,101.0,winter,33.96,3.247290830041666
6,2022-01-01 06:00:00.000000,new york,us,52.16,06:00:00,3.44,06:00:00.000000,2022-01-01,6,1,1,2022,101.0,winter,32.16,3.3322957686098964
5,2022-01-01 05:00:00.000000,new york,us,52.2,05:00:00,2.23,05:00:00.000000,2022-01-01,5,1,1,2022,101.0,winter,32.2,3.3304067699750464
4,2022-01-01 04:00:00.000000,new york,us,52.56,04:00:00,1.75,04:00:00.000000,2022-01-01,4,1,1,2022,101.0,winter,32.56,3.3134057822614005
3,2022-01-01 03:00:00.000000,new york,us,52.16,03:00:00,1.71,03:00:00.000000,2022-01-01,3,1,1,2022,101.0,winter,32.16,3.3322957686098964
2,2022-01-01 02:00:00.000000,new york,us,52.52,02:00:00,3.19,02:00:00.000000,2022-01-01,2,1,1,2022,101.0,winter,32.52,3.31529478089625
1,2022-01-01 01:00:00.000000,new york,us,52.16,01:00:00,1.72,01:00:00.000000,2022-01-01,1,1,1,2022,101.0,winter,32.16,3.3322957686098964
11,2022-01-01 11:00:00.000000,new york,us,54.73,11:00:00,1.68,11:00:00.000000,2022-01-01,11,1,1,2022,101.0,winter,34.73,3.210927606320812
38,2022-01-02 14:00:00.000000,new york,us,58.57,14:00:00,3.17,14:00:00.000000,2022-01-02,14,2,1,2022,102.0,winter,38.57,3.029583737375254
39,2022-01-02 15:00:00.000000,new york,us,59.05,15:00:00,2.2,15:00:00.000000,2022-01-02,15,2,1,2022,102.0,winter,39.05,3.006915753757059
40,2022-01-02 16:00:00.000000,new york,us,53.96,16:00:00,2.5,16:00:00.000000,2022-01-02,16,2,1,2022,102.0,winter,33.96,3.247290830041666
41,2022-01-02 17:00:00.000000,new york,us,52.83,17:00:00,3.68,17:00:00.000000,2022-01-02,17,2,1,2022,102.0,winter,32.83,3.3006550414761664
42,2022-01-02 18:00:00.000000,new york,us,49.46,18:00:00,4.35,18:00:00.000000,2022-01-02,18,2,1,2022,102.0,winter,29.46,3.4598031764622417
47,2022-01-02 23:00:00.000000,new york,us,39.02,23:00:00,1.97,23:00:00.000000,2022-01-02,23,2,1,2022,102.0,winter,19.020000000000003,3.9528318201579777
44,2022-01-02 20:00:00.000000,new york,us,41.67,20:00:00,3.18,20:00:00.000000,2022-01-02,20,2,1,2022,102.0,winter,21.67,3.8276856605991942
45,2022-01-02 21:00:00.000000,new york,us,39.38,21:00:00,3.07,21:00:00.000000,2022-01-02,21,2,1,2022,102.0,winter,19.380000000000003,3.9358308324443314
46,2022-01-02 22:00:00.000000,new york,us,39.45,22:00:00,4.26,22:00:00.000000,2022-01-02,22,2,1,2022,102.0,winter,19.450000000000003,3.932525084833345
37,2022-01-02 13:00:00.000000,new york,us,57.13,13:00:00,1.74,13:00:00.000000,2022-01-02,13,2,1,2022,102.0,winter,37.13,3.097587688229838
43,2022-01-02 19:00:00.000000,new york,us,46.74,19:00:00,3.75,19:00:00.000000,2022-01-02,19,2,1,2022,102.0,winter,26.740000000000002,3.5882550836320117
36,2022-01-02 12:00:00.000000,new york,us,56.12,12:00:00,1.66,12:00:00.000000,2022-01-02,12,2,1,2022,102.0,winter,36.12,3.14528490375979
29,2022-01-02 05:00:00.000000,new york,us,52.16,05:00:00,2.64,05:00:00.000000,2022-01-02,5,2,1,2022,102.0,winter,32.16,3.3322957686098964
34,2022-01-02 10:00:00.000000,new york,us,55.15,10:00:00,3.28,10:00:00.000000,2022-01-02,10,2,1,2022,102.0,winter,35.15,3.191093120654892
33,2022-01-02 09:00:00.000000,new york,us,54.27,09:00:00,1.63,09:00:00.000000,2022-01-02,9,2,1,2022,102.0,winter,34.27,3.232651090621582
32,2022-01-02 08:00:00.000000,new york,us,53.6,08:00:00,1.86,08:00:00.000000,2022-01-02,8,2,1,2022,102.0,winter,33.6,3.264291817755312
31,2022-01-02 07:00:00.000000,new york,us,53.78,07:00:00,2.75,07:00:00.000000,2022-01-02,7,2,1,2022,102.0,winter,33.78,3.255791323898489
30,2022-01-02 06:00:00.000000,new york,us,53.24,06:00:00,3.91,06:00:00.000000,2022-01-02,6,2,1,2022,102.0,winter,33.24,3.281292805468958
28,2022-01-02 04:00:00.000000,new york,us,53.55,04:00:00,2.1,04:00:00.000000,2022-01-02,4,2,1,2022,102.0,winter,33.55,3.266653066048874
27,2022-01-02 03:00:00.000000,new york,us,53.96,03:00:00,2.12,03:00:00.000000,2022-01-02,3,2,1,2022,102.0,winter,33.96,3.247290830041666
26,2022-01-02 02:00:00.000000,new york,us,53.96,02:00:00,3.77,02:00:00.000000,2022-01-02,2,2,1,2022,102.0,winter,33.96,3.247290830041666
25,2022-01-02 01:00:00.000000,new york,us,53.96,01:00:00,2.22,01:00:00.000000,2022-01-02,1,2,1,2022,102.0,winter,33.96,3.247290830041666
24,2022-01-02 00:00:00.000000,new york,us,53.24,00:00:00,2.34,00:00:00.000000,2022-01-02,0,2,1,2022,102.0,winter,33.24,3.281292805468958
35,2022-01-02 11:00:00.000000,new york,us,55.69,11:00:00,1.7,11:00:00.000000,2022-01-02,11,2,1,2022,102.0,winter,35.69,3.1655916390844228
62,2022-01-03 14:00:00.000000,new york,us,29.12,14:00:00,1.61,14:00:00.000000,2022-01-03,14,3,1,2022,103.0,winter,9.120000000000001,4.420358982283244
63,2022-01-03 15:00:00.000000,new york,us,28.71,15:00:00,1.79,15:00:00.000000,2022-01-03,15,3,1,2022,103.0,winter,8.71,4.439721218290453
64,2022-01-03 16:00:00.000000,new york,us,28.72,16:00:00,4.32,16:00:00.000000,2022-01-03,16,3,1,2022,103.0,winter,8.719999999999999,4.43924896863174
65,2022-01-03 17:00:00.000000,new york,us,28.06,17:00:00,3.62,17:00:00.000000,2022-01-03,17,3,1,2022,103.0,winter,8.059999999999999,4.470417446106758
66,2022-01-03 18:00:00.000000,new york,us,28.83,18:00:00,2.8,18:00:00.000000,2022-01-03,18,3,1,2022,103.0,winter,8.829999999999998,4.434054222385904
71,2022-01-03 23:00:00.000000,new york,us,24.87,23:00:00,2.15,23:00:00.000000,2022-01-03,23,3,1,2022,103.0,winter,4.870000000000001,4.621065087236011
68,2022-01-03 20:00:00.000000,new york,us,27.03,20:00:00,2.61,20:00:00.000000,2022-01-03,20,3,1,2022,103.0,winter,7.030000000000001,4.519059160954134
69,2022-01-03 21:00:00.000000,new york,us,25.97,21:00:00,3.87,21:00:00.000000,2022-01-03,21,3,1,2022,103.0,winter,5.969999999999999,4.569117624777648
70,2022-01-03 22:00:00.000000,new york,us,24.49,22:00:00,2.39,22:00:00.000000,2022-01-03,22,3,1,2022,103.0,winter,4.489999999999998,4.639010574267082
61,2022-01-03 13:00:00.000000,new york,us,30.87,13:00:00,3.42,13:00:00.000000,2022-01-03,13,3,1,2022,103.0,winter,10.870000000000001,4.337715292008577
67,2022-01-03 19:00:00.000000,new york,us,28.09,19:00:00,4.7,19:00:00.000000,2022-01-03,19,3,1,2022,103.0,winter,8.09,4.469000697130621
60,2022-01-03 12:00:00.000000,new york,us,30.51,12:00:00,1.54,12:00:00.000000,2022-01-03,12,3,1,2022,103.0,winter,10.510000000000002,4.354716279722222
53,2022-01-03 05:00:00.000000,new york,us,35.91,05:00:00,2.6,05:00:00.000000,2022-01-03,5,3,1,2022,103.0,winter,15.909999999999997,4.0997014640175315
58,2022-01-03 10:00:00.000000,new york,us,30.92,10:00:00,3.26,10:00:00.000000,2022-01-03,10,3,1,2022,103.0,winter,10.920000000000002,4.335354043715014
48,2022-01-03 00:00:00.000000,new york,us,38.73,00:00:00,1.96,00:00:00.000000,2022-01-03,0,3,1,2022,103.0,winter,18.729999999999997,3.9665270602606375
49,2022-01-03 01:00:00.000000,new york,us,37.94,01:00:00,3.63,01:00:00.000000,2022-01-03,1,3,1,2022,103.0,winter,17.939999999999998,4.003834783298916
50,2022-01-03 02:00:00.000000,new york,us,37.58,02:00:00,1.76,02:00:00.000000,2022-01-03,2,3,1,2022,103.0,winter,17.58,4.020835771012562
51,2022-01-03 03:00:00.000000,new york,us,37.18,03:00:00,1.85,03:00:00.000000,2022-01-03,3,3,1,2022,103.0,winter,17.18,4.039725757361058
52,2022-01-03 04:00:00.000000,new york,us,35.78,04:00:00,3.49,04:00:00.000000,2022-01-03,4,3,1,2022,103.0,winter,15.780000000000001,4.105840709580792
59,2022-01-03 11:00:00.000000,new york,us,31.05,11:00:00,1.42,11:00:00.000000,2022-01-03,11,3,1,2022,103.0,winter,11.05,4.329214798151753
54,2022-01-03 06:00:00.000000,new york,us,34.39,06:00:00,2.44,06:00:00.000000,2022-01-03,6,3,1,2022,103.0,winter,14.39,4.171483412141814
55,2022-01-03 07:00:00.000000,new york,us,33.21,07:00:00,4.12,07:00:00.000000,2022-01-03,7,3,1,2022,103.0,winter,13.21,4.227208871869877
56,2022-01-03 08:00:00.000000,new york,us,32.36,08:00:00,1.49,08:00:00.000000,2022-01-03,8,3,1,2022,103.0,winter,12.36,4.26735009286043
57,2022-01-03 09:00:00.000000,new york,us,31.69,09:00:00,1.42,09:00:00.000000,2022-01-03,9,3,1,2022,103.0,winter,11.690000000000001,4.29899081999416
84,2022-01-04 12:00:00.000000,new york,us,31.75,12:00:00,1.93,12:00:00.000000,2022-01-04,12,4,1,2022,104.0,winter,11.75,4.296157322041886
93,2022-01-04 21:00:00.000000,new york,us,35.64,21:00:00,2.6,21:00:00.000000,2022-01-04,21,4,1,2022,104.0,winter,15.64,4.112452204802766
92,2022-01-04 20:00:00.000000,new york,us,36.9,20:00:00,2.73,20:00:00.000000,2022-01-04,20,4,1,2022,104.0,winter,16.9,4.052948747805004
91,2022-01-04 19:00:00.000000,new york,us,36.9,19:00:00,4.72,19:00:00.000000,2022-01-04,19,4,1,2022,104.0,winter,16.9,4.052948747805004
90,2022-01-04 18:00:00.000000,new york,us,37.53,18:00:00,3.2,18:00:00.000000,2022-01-04,18,4,1,2022,104.0,winter,17.53,4.023197019306124
89,2022-01-04 17:00:00.000000,new york,us,36.82,17:00:00,2.67,17:00:00.000000,2022-01-04,17,4,1,2022,104.0,winter,16.82,4.0567267450747035
88,2022-01-04 16:00:00.000000,new york,us,36.21,16:00:00,3.99,16:00:00.000000,2022-01-04,16,4,1,2022,104.0,winter,16.21,4.08553397425616
87,2022-01-04 15:00:00.000000,new york,us,36.75,15:00:00,1.77,15:00:00.000000,2022-01-04,15,4,1,2022,104.0,winter,16.75,4.060032492685691
86,2022-01-04 14:00:00.000000,new york,us,35.29,14:00:00,1.8,14:00:00.000000,2022-01-04,14,4,1,2022,104.0,winter,15.29,4.1289809428577
85,2022-01-04 13:00:00.000000,new york,us,34.03,13:00:00,3.81,13:00:00.000000,2022-01-04,13,4,1,2022,104.0,winter,14.030000000000001,4.188484399855461
95,2022-01-04 23:00:00.000000,new york,us,34.93,23:00:00,2.14,23:00:00.000000,2022-01-04,23,4,1,2022,104.0,winter,14.93,4.145981930571345
94,2022-01-04 22:00:00.000000,new york,us,35.82,22:00:00,4.16,22:00:00.000000,2022-01-04,22,4,1,2022,104.0,winter,15.82,4.1039517109459425
83,2022-01-04 11:00:00.000000,new york,us,28.81,11:00:00,1.83,11:00:00.000000,2022-01-04,11,4,1,2022,104.0,winter,8.809999999999999,4.434998721703329
81,2022-01-04 09:00:00.000000,new york,us,24.51,09:00:00,2.91,09:00:00.000000,2022-01-04,9,4,1,2022,104.0,winter,4.510000000000002,4.6380660749496565
80,2022-01-04 08:00:00.000000,new york,us,20.97,08:00:00,3.73,08:00:00.000000,2022-01-04,8,4,1,2022,104.0,winter,0.9699999999999989,4.805242454133843
79,2022-01-04 07:00:00.000000,new york,us,21.19,07:00:00,3.68,07:00:00.000000,2022-01-04,7,4,1,2022,104.0,winter,1.1900000000000013,4.794852961642171
78,2022-01-04 06:00:00.000000,new york,us,20.61,06:00:00,3.08,06:00:00.000000,2022-01-04,6,4,1,2022,104.0,winter,0.6099999999999994,4.8222434418474895
77,2022-01-04 05:00:00.000000,new york,us,23.59,05:00:00,4.67,05:00:00.000000,2022-01-04,5,4,1,2022,104.0,winter,3.59,4.681513043551197
76,2022-01-04 04:00:00.000000,new york,us,22.28,04:00:00,3.14,04:00:00.000000,2022-01-04,4,4,1,2022,104.0,winter,2.280000000000001,4.74337774884252
75,2022-01-04 03:00:00.000000,new york,us,22.41,03:00:00,2.54,03:00:00.000000,2022-01-04,3,4,1,2022,104.0,winter,2.41,4.737238503279259
74,2022-01-04 02:00:00.000000,new york,us,22.59,02:00:00,4.29,02:00:00.000000,2022-01-04,2,4,1,2022,104.0,winter,2.59,4.728738009422436
73,2022-01-04 01:00:00.000000,new york,us,23.25,01:00:00,2.48,01:00:00.000000,2022-01-04,1,4,1,2022,104.0,winter,3.25,4.697569531947418
72,2022-01-04 00:00:00.000000,new york,us,23.65,00:00:00,4.04,00:00:00.000000,2022-01-04,0,4,1,2022,104.0,winter,3.6499999999999986,4.678679545598922
82,2022-01-04 10:00:00.000000,new york,us,24.31,10:00:00,3.77,10:00:00.000000,2022-01-04,10,4,1,2022,104.0,winter,4.309999999999999,4.6475110681239045
110,2022-01-05 14:00:00.000000,new york,us,45.48,14:00:00,1.65,14:00:00.000000,2022-01-05,14,5,1,2022,105.0,winter,25.479999999999997,3.6477585406297734
111,2022-01-05 15:00:00.000000,new york,us,46.54,15:00:00,2.09,15:00:00.000000,2022-01-05,15,5,1,2022,105.0,winter,26.54,3.5977000768062597
112,2022-01-05 16:00:00.000000,new york,us,48.36,16:00:00,4.31,16:00:00.000000,2022-01-05,16,5,1,2022,105.0,winter,28.36,3.5117506389206046
114,2022-01-05 18:00:00.000000,new york,us,48.16,18:00:00,2.86,18:00:00.000000,2022-01-05,18,5,1,2022,105.0,winter,28.159999999999997,3.5211956320948525
109,2022-01-05 13:00:00.000000,new york,us,43.5,13:00:00,3.62,13:00:00.000000,2022-01-05,13,5,1,2022,105.0,winter,23.5,3.741263973054827
116,2022-01-05 20:00:00.000000,new york,us,46.76,20:00:00,4.45,20:00:00.000000,2022-01-05,20,5,1,2022,105.0,winter,26.759999999999998,3.5873105843145874
117,2022-01-05 21:00:00.000000,new york,us,45.32,21:00:00,2.61,21:00:00.000000,2022-01-05,21,5,1,2022,105.0,winter,25.32,3.655314535169172
118,2022-01-05 22:00:00.000000,new york,us,44.42,22:00:00,2.49,22:00:00.000000,2022-01-05,22,5,1,2022,105.0,winter,24.42,3.6978170044532868
119,2022-01-05 23:00:00.000000,new york,us,44.83,23:00:00,3.93,23:00:00.000000,2022-01-05,23,5,1,2022,105.0,winter,24.83,3.6784547684460787
115,2022-01-05 19:00:00.000000,new york,us,47.25,19:00:00,2.51,19:00:00.000000,2022-01-05,19,5,1,2022,105.0,winter,27.25,3.56417035103768
108,2022-01-05 12:00:00.000000,new york,us,41.18,12:00:00,1.54,12:00:00.000000,2022-01-05,12,5,1,2022,105.0,winter,21.18,3.8508258938761015
113,2022-01-05 17:00:00.000000,new york,us,48.88,17:00:00,3.09,17:00:00.000000,2022-01-05,17,5,1,2022,105.0,winter,28.880000000000003,3.4871936566675603
106,2022-01-05 10:00:00.000000,new york,us,39.94,10:00:00,3.18,10:00:00.000000,2022-01-05,10,5,1,2022,105.0,winter,19.939999999999998,3.909384851556438
97,2022-01-05 01:00:00.000000,new york,us,33.85,01:00:00,3.85,01:00:00.000000,2022-01-05,1,5,1,2022,105.0,winter,13.850000000000001,4.196984893712283
98,2022-01-05 02:00:00.000000,new york,us,36.72,02:00:00,2.03,02:00:00.000000,2022-01-05,2,5,1,2022,105.0,winter,16.72,4.061449241661828
99,2022-01-05 03:00:00.000000,new york,us,35.82,03:00:00,2.0,03:00:00.000000,2022-01-05,3,5,1,2022,105.0,winter,15.82,4.1039517109459425
100,2022-01-05 04:00:00.000000,new york,us,34.57,04:00:00,4.06,04:00:00.000000,2022-01-05,4,5,1,2022,105.0,winter,14.57,4.162982918284992
101,2022-01-05 05:00:00.000000,new york,us,34.77,05:00:00,2.77,05:00:00.000000,2022-01-05,5,5,1,2022,105.0,winter,14.770000000000003,4.153537925110744
96,2022-01-05 00:00:00.000000,new york,us,34.39,00:00:00,2.12,00:00:00.000000,2022-01-05,0,5,1,2022,105.0,winter,14.39,4.171483412141814
102,2022-01-05 06:00:00.000000,new york,us,34.95,06:00:00,2.7,06:00:00.000000,2022-01-05,6,5,1,2022,105.0,winter,14.950000000000003,4.145037431253921
103,2022-01-05 07:00:00.000000,new york,us,34.72,07:00:00,3.74,07:00:00.000000,2022-01-05,7,5,1,2022,105.0,winter,14.719999999999999,4.155899173404306
104,2022-01-05 08:00:00.000000,new york,us,40.82,08:00:00,1.5,08:00:00.000000,2022-01-05,8,5,1,2022,105.0,winter,20.82,3.8678268815897474
105,2022-01-05 09:00:00.000000,new york,us,41.18,09:00:00,1.45,09:00:00.000000,2022-01-05,9,5,1,2022,105.0,winter,21.18,3.8508258938761015
107,2022-01-05 11:00:00.000000,new york,us,40.84,11:00:00,1.49,11:00:00.000000,2022-01-05,11,5,1,2022,105.0,winter,20.840000000000003,3.8668823822723226
134,2022-01-06 14:00:00.000000,new york,us,38.77,14:00:00,3.2,14:00:00.000000,2022-01-06,14,6,1,2022,106.0,winter,18.770000000000003,3.9646380616257875
135,2022-01-06 15:00:00.000000,new york,us,39.49,15:00:00,1.88,15:00:00.000000,2022-01-06,15,6,1,2022,106.0,winter,19.490000000000002,3.9306360861984952
136,2022-01-06 16:00:00.000000,new york,us,38.59,16:00:00,2.4,16:00:00.000000,2022-01-06,16,6,1,2022,106.0,winter,18.590000000000003,3.9731385554826106
137,2022-01-06 17:00:00.000000,new york,us,38.39,17:00:00,5.32,17:00:00.000000,2022-01-06,17,6,1,2022,106.0,winter,18.39,3.9825835486568586
138,2022-01-06 18:00:00.000000,new york,us,37.31,18:00:00,3.48,18:00:00.000000,2022-01-06,18,6,1,2022,106.0,winter,17.310000000000002,4.033586511797797
140,2022-01-06 20:00:00.000000,new york,us,38.07,20:00:00,4.71,20:00:00.000000,2022-01-06,20,6,1,2022,106.0,winter,18.07,3.997695537735655
141,2022-01-06 21:00:00.000000,new york,us,37.76,21:00:00,3.07,21:00:00.000000,2022-01-06,21,6,1,2022,106.0,winter,17.759999999999998,4.0123352771557395
142,2022-01-06 22:00:00.000000,new york,us,36.86,22:00:00,2.64,22:00:00.000000,2022-01-06,22,6,1,2022,106.0,winter,16.86,4.054837746439854
143,2022-01-06 23:00:00.000000,new york,us,39.38,23:00:00,3.93,23:00:00.000000,2022-01-06,23,6,1,2022,106.0,winter,19.380000000000003,3.9358308324443314
133,2022-01-06 13:00:00.000000,new york,us,36.99,13:00:00,1.32,13:00:00.000000,2022-01-06,13,6,1,2022,106.0,winter,16.990000000000002,4.048698500876593
139,2022-01-06 19:00:00.000000,new york,us,37.99,19:00:00,2.62,19:00:00.000000,2022-01-06,19,6,1,2022,106.0,winter,17.990000000000002,4.001473535005354
132,2022-01-06 12:00:00.000000,new york,us,37.17,12:00:00,1.27,12:00:00.000000,2022-01-06,12,6,1,2022,106.0,winter,17.17,4.04019800701977
131,2022-01-06 11:00:00.000000,new york,us,37.58,11:00:00,2.95,11:00:00.000000,2022-01-06,11,6,1,2022,106.0,winter,17.58,4.020835771012562
130,2022-01-06 10:00:00.000000,new york,us,37.22,10:00:00,1.38,10:00:00.000000,2022-01-06,10,6,1,2022,106.0,winter,17.22,4.0378367587262085
121,2022-01-06 01:00:00.000000,new york,us,43.16,01:00:00,2.37,01:00:00.000000,2022-01-06,1,6,1,2022,106.0,winter,23.159999999999997,3.757320461451048
122,2022-01-06 02:00:00.000000,new york,us,41.85,02:00:00,3.8,02:00:00.000000,2022-01-06,2,6,1,2022,106.0,winter,21.85,3.819185166742371
123,2022-01-06 03:00:00.000000,new york,us,42.62,03:00:00,2.06,03:00:00.000000,2022-01-06,3,6,1,2022,106.0,winter,22.619999999999997,3.782821943021517
124,2022-01-06 04:00:00.000000,new york,us,42.39,04:00:00,2.02,04:00:00.000000,2022-01-06,4,6,1,2022,106.0,winter,22.39,3.793683685171902
120,2022-01-06 00:00:00.000000,new york,us,42.67,00:00:00,2.39,00:00:00.000000,2022-01-06,0,6,1,2022,106.0,winter,22.67,3.780460694727955
126,2022-01-06 06:00:00.000000,new york,us,39.49,06:00:00,2.12,06:00:00.000000,2022-01-06,6,6,1,2022,106.0,winter,19.490000000000002,3.9306360861984952
127,2022-01-06 07:00:00.000000,new york,us,39.38,07:00:00,2.01,07:00:00.000000,2022-01-06,7,6,1,2022,106.0,winter,19.380000000000003,3.9358308324443314
128,2022-01-06 08:00:00.000000,new york,us,38.12,08:00:00,3.12,08:00:00.000000,2022-01-06,8,6,1,2022,106.0,winter,18.119999999999997,3.995334289442093
129,2022-01-06 09:00:00.000000,new york,us,37.04,09:00:00,1.49,09:00:00.000000,2022-01-06,9,6,1,2022,106.0,winter,17.04,4.046337252583031
125,2022-01-06 05:00:00.000000,new york,us,39.92,05:00:00,4.15,05:00:00.000000,2022-01-06,5,6,1,2022,106.0,winter,19.92,3.9103293508738624
157,2022-01-07 13:00:00.000000,new york,us,34.03,13:00:00,1.89,13:00:00.000000,2022-01-07,13,7,1,2022,107.0,winter,14.030000000000001,4.188484399855461
166,2022-01-07 22:00:00.000000,new york,us,28.76,22:00:00,4.33,22:00:00.000000,2022-01-07,22,7,1,2022,107.0,winter,8.760000000000002,4.437359969996891
165,2022-01-07 21:00:00.000000,new york,us,28.94,21:00:00,2.75,21:00:00.000000,2022-01-07,21,7,1,2022,107.0,winter,8.940000000000001,4.428859476140068
164,2022-01-07 20:00:00.000000,new york,us,29.66,20:00:00,3.46,20:00:00.000000,2022-01-07,20,7,1,2022,107.0,winter,9.66,4.394857500712775
163,2022-01-07 19:00:00.000000,new york,us,30.92,19:00:00,3.67,19:00:00.000000,2022-01-07,19,7,1,2022,107.0,winter,10.920000000000002,4.335354043715014
162,2022-01-07 18:00:00.000000,new york,us,31.41,18:00:00,2.67,18:00:00.000000,2022-01-07,18,7,1,2022,107.0,winter,11.41,4.312213810438108
161,2022-01-07 17:00:00.000000,new york,us,32.25,17:00:00,4.75,17:00:00.000000,2022-01-07,17,7,1,2022,107.0,winter,12.25,4.272544839106266
160,2022-01-07 16:00:00.000000,new york,us,33.08,16:00:00,2.34,16:00:00.000000,2022-01-07,16,7,1,2022,107.0,winter,13.079999999999998,4.233348117433138
159,2022-01-07 15:00:00.000000,new york,us,33.31,15:00:00,1.88,15:00:00.000000,2022-01-07,15,7,1,2022,107.0,winter,13.310000000000002,4.222486375282752
158,2022-01-07 14:00:00.000000,new york,us,34.16,14:00:00,3.42,14:00:00.000000,2022-01-07,14,7,1,2022,107.0,winter,14.159999999999997,4.1823451542922
156,2022-01-07 12:00:00.000000,new york,us,34.34,12:00:00,1.81,12:00:00.000000,2022-01-07,12,7,1,2022,107.0,winter,14.340000000000003,4.1738446604353765
167,2022-01-07 23:00:00.000000,new york,us,27.32,23:00:00,2.5,23:00:00.000000,2022-01-07,23,7,1,2022,107.0,winter,7.32,4.505363920851475
154,2022-01-07 10:00:00.000000,new york,us,31.23,10:00:00,1.79,10:00:00.000000,2022-01-07,10,7,1,2022,107.0,winter,11.23,4.32071430429493
144,2022-01-07 00:00:00.000000,new york,us,35.31,00:00:00,2.38,00:00:00.000000,2022-01-07,0,7,1,2022,107.0,winter,15.310000000000002,4.1280364435402745
145,2022-01-07 01:00:00.000000,new york,us,32.9,01:00:00,2.32,01:00:00.000000,2022-01-07,1,7,1,2022,107.0,winter,12.899999999999999,4.241848611289961
146,2022-01-07 02:00:00.000000,new york,us,31.69,02:00:00,4.25,02:00:00.000000,2022-01-07,2,7,1,2022,107.0,winter,11.690000000000001,4.29899081999416
147,2022-01-07 03:00:00.000000,new york,us,30.38,03:00:00,2.42,03:00:00.000000,2022-01-07,3,7,1,2022,107.0,winter,10.379999999999999,4.3608555252854835
148,2022-01-07 04:00:00.000000,new york,us,30.38,04:00:00,2.55,04:00:00.000000,2022-01-07,4,7,1,2022,107.0,winter,10.379999999999999,4.3608555252854835
155,2022-01-07 11:00:00.000000,new york,us,32.13,11:00:00,3.61,11:00:00.000000,2022-01-07,11,7,1,2022,107.0,winter,12.130000000000003,4.278211835010815
150,2022-01-07 06:00:00.000000,new york,us,29.12,06:00:00,2.66,06:00:00.000000,2022-01-07,6,7,1,2022,107.0,winter,9.120000000000001,4.420358982283244
151,2022-01-07 07:00:00.000000,new york,us,28.71,07:00:00,2.7,07:00:00.000000,2022-01-07,7,7,1,2022,107.0,winter,8.71,4.439721218290453
152,2022-01-07 08:00:00.000000,new york,us,28.76,08:00:00,4.02,08:00:00.000000,2022-01-07,8,7,1,2022,107.0,winter,8.760000000000002,4.437359969996891
153,2022-01-07 09:00:00.000000,new york,us,29.12,09:00:00,1.9,09:00:00.000000,2022-01-07,9,7,1,2022,107.0,winter,9.120000000000001,4.420358982283244
